Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Fabio González,es ESP,27,1997,MF,Las Palmas,es La Liga,2,0,53,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Las Palmas,,es La Liga,
Fabio Miretti,it ITA,20,2003,"MF,FW",Genoa,it Serie A,25,22,1677,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,Genoa,,it Serie A,
Fabián Ruiz Peña,es ESP,28,1996,MF,Paris S-G,fr Ligue 1,30,21,1923,4,5,9,78.97390272835112,91.48873072360617,84.4306049822064,Paris S-G,,fr Ligue 1,
Facundo Buonanotte,ar ARG,19,2004,"FW,MF",Leicester City,eng Premier League,31,14,1523,5,2,7,83.27402135231317,69.42467378410439,79.2111506524318,Leicester City,,eng Premier League,
Faik Sakar,de GER,16,2008,MF,RB Leipzig,de Bundesliga,1,0,1,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,RB Leipzig,,de Bundesliga,
Fares Chaïbi,dz ALG,21,2002,"MF,FW",Eint Frankfurt,de Bundesliga,26,10,1013,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Eint Frankfurt,,de Bundesliga,
Farid El Melali,dz ALG,27,1997,FW,Angers,fr Ligue 1,32,22,1893,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Angers,,fr Ligue 1,
Faride Alidou,de GER,23,2001,"FW,MF",Hellas Verona,it Serie A,3,0,71,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Hellas Verona,,it Serie A,
Faris Pemi Moumbagna,cm CMR,24,2000,FW,Marseille,fr Ligue 1,1,0,8,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Marseille,,fr Ligue 1,
Faustino Anjorin,eng ENG,22,2001,MF,Empoli,it Serie A,22,14,1114,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Empoli,,it Serie A,
Federico Accornero,it ITA,20,2004,MF,Genoa,it Serie A,1,0,5,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Genoa,,it Serie A,
Federico Cassa,it ITA,18,2006,"MF,FW",Atalanta,it Serie A,2,0,14,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Atalanta,,it Serie A,
Federico Chiesa,it ITA,26,1997,FW,Liverpool,eng Premier League,6,1,108,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Liverpool,,eng Premier League,
Federico Dimarco,it ITA,26,1997,"DF,FW",Inter,it Serie A,33,29,2177,4,7,11,78.97390272835112,96.17437722419929,89.1459074733096,Inter,,it Serie A,
Federico Valverde,uy URU,26,1998,"MF,DF",Real Madrid,es La Liga,36,34,3032,6,4,10,86.71411625148279,86.98102016607355,87.18861209964413,Real Madrid,,es La Liga,
Felix Nmecha,de GER,23,2000,MF,Dortmund,de Bundesliga,26,19,1509,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Dortmund,,de Bundesliga,
Felix Passlack,de GER,26,1998,"DF,MF",Bochum,de Bundesliga,31,30,2334,1,6,7,47.805456702253856,94.09845788849347,79.2111506524318,Bochum,,de Bundesliga,
Fer López,es ESP,21,2004,"FW,MF",Celta Vigo,es La Liga,17,7,671,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Celta Vigo,,es La Liga,
Ferdi Kadioglu,tr TUR,24,1999,"DF,MF",Brighton,eng Premier League,6,5,385,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Brighton,,eng Premier League,
Fermin López,es ESP,21,2003,"MF,FW",Barcelona,es La Liga,28,12,1252,6,5,11,86.71411625148279,91.48873072360617,89.1459074733096,Barcelona,,es La Liga,
Fernando Calero,es ESP,28,1995,"DF,MF",Espanyol,es La Liga,21,6,715,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Espanyol,,es La Liga,
Ferrán Ruiz,es ESP,21,2003,MF,Girona,es La Liga,1,0,18,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Girona,,es La Liga,
Ferrán Torres,es ESP,24,2000,"FW,MF",Barcelona,es La Liga,27,12,1106,10,6,16,94.54329774614472,94.09845788849347,95.72953736654804,Barcelona,,es La Liga,
Filip Marchwiński,pl POL,22,2002,MF,Lecce,it Serie A,1,0,15,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lecce,,it Serie A,
Filippo Melegoni,it ITA,25,1999,"MF,FW",Genoa,it Serie A,3,1,89,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Genoa,,it Serie A,
Filippo Terracciano,it ITA,21,2003,"DF,MF",Milan,it Serie A,13,6,539,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Milan,,it Serie A,
Finn Ole Becker,de GER,24,2000,MF,Hoffenheim,de Bundesliga,13,7,670,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Hoffenheim,,de Bundesliga,
Finn Porath,de GER,27,1997,"DF,MF",Holstein Kiel,de Bundesliga,31,20,1970,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Holstein Kiel,,de Bundesliga,
